,Sys no.,Link,Title,Subject: 650 field only,Questions,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Best Bets
LA,1609635,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1609635",ProQuest statistical insight.,International agencies--Statistics--Indexes--Databases.;International agencies--Statistics--Databases.;Statistics--Indexes--Databases.;Statistics--Databases.,,Statistics and Probability,,,,,
LA,1610268,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1610268",Newspaper source plus.,American newspapers--Databases.;Newspapers--Databases.,,Multidisciplinary,,,,,
LA,1634358,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1634358",Web of science.,Science--Periodicals--Indexes.;Science--Indexes.;Social sciences--Periodicals--Indexes.;Social sciences--Indexes.;Arts--Periodicals--Indexes.;Arts--Indexes.;Humanities--Periodicals--Indexes.;Humanities--Indexes.--Periodicals.,,Multidisciplinary,,,,,
LA,1648477,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1648477",Biography and genealogy master index.,Biography--Databases.;Genealogy--Databases.,,Multidisciplinary,,,,,
LA,1648480,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1648480",Literature resource center,"Literature--History and criticism--Databases.;Bio-bibliography--Databases.;English literature--Bio-bibliography--Databases.;American literature--Bio-bibliography--Databases.;Authors, American--Bio-bibliography--Databases.;Authors, English--Bio-bibliography--Databases.;English literature--History and criticism--Databases.",,English Language and Literature,,,,,
LA,1649801,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1649801","America, history & life",,,American Studies,History,,,,
LA,1649817,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1649817",Historical abstracts,"History, Modern--Abstracts.;Social sciences--Abstracts.",,History,,,,,
LA,1654149,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1654149",Accessible Archives.,African American newspapers--19th century--Databases.;American newspapers--19th century--Databases.;Antislavery movements--United States--Databases.,,Africana Studies,History,,,,
LA,1672061,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1672061",eHRAF world cultures,Culture--Indexes.;Anthropology--Indexes.;Social sciences--Indexes.;Ethnology--Indexes.;Area studies--Indexes.,,Anthropology,,,,,
LA,1674905,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1674905",Literature online,English literature.;American literature.;English literature--History and criticism.;American literature--History and criticism.,,English Language and Literature,,,,,
LA,1674916,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1674916",Early English prose fiction,"English fiction--Early modern, 1500-1700.;English prose literature--Early modern, 1500-1700.",,English Language and Literature,,,,,
LA,1680879,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1680879",ChoiceReviews.online,Best books--Databases.;Best books--Periodicals.;Academic libraries--Periodicals.,,Library and Information Science,,,,,
LA,1682173,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1682173",ARTbibliographies modern,"Art, Modern--20th century--Bibliography.;Art, Modern--20th century--Abstracts--Databases.",,"Art, Art History, and Design",,,,,
LA,1682988,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1682988",Oxford art online,Art--Encyclopedias.;Art--Dictionaries.;Artists--Dictionaries.;Aesthetics--Encyclopedias.,,"Art, Art History, and Design",,,,,
LA,1687875,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1687875",Feminae,"Women--History--Middle Ages, 500-1500--Indexes.;Sex--History--Indexes.;Civilization, Medieval--Indexes.;Gender identity--Indexes.",,History,Gender Studies,Medieval Studies,,,
LA,1688140,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1688140",Women writers online.,Literature--Women authors--Databases.;Women--Literary collections--Databases.;English literature--Women authors--Databases.;American literature--Women authors--Databases.,,English Language and Literature,Gender Studies,,,,
LA,1690075,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1690075",The music index online,Music--Periodicals--Indexes.;Music--Indexes.,,Music,,,,,
LA,1693106,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1693106",Philosopher's index with full text.,Philosophy--Databases.;Philosophy--Periodicals--Databases.,,Philosophy,,,,,
LA,1696067,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1696067",NBER working paper series,Economics.;Policy sciences.,,Economics,,,,,
LA,1697100,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1697100",Acta sanctorum,Christian saints.,,Theology and Religion,,,,,
