,Sys no.,Link,Title,Subject: 650 field only,Questions,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Best Bets
LA,2210362,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2210362",Forrester :,Electronic commerce--Databases.;High technology industries--Databases.;Internet--Databases.;Technological forecasting--Databases.;Industrial statistics--Databases.;Information technology--Databases.,,Business,,,,,
LA,2210382,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2210382",GfK MRI University Reporter.,Marketing research--United States--Databases.;Market surveys--United States--Databases;Consumers--Research--United States--Statistics--Databases.;Advertising--United States--Statistics--Databases.,,Business,,,,,
LA,2213172,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2213172",Faulkner advisory for IT studies,Information technology.;Internet.;Electronic commerce.;Internet industry.;Communication--Technological innovations.;Business--Technological innovations.,,Computer Science and Engineering,,,,,
LA,2216390,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2216390",Ulrichsweb,Periodicals--Directories.;Serial publications--Directories.,,Library and Information Science,,,,,
LA,2218631,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2218631",Naxos music library,Music--Databases.,,Music,,,,,
LA,2218756,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2218756",Mergent bondviewer,Bonds--Databases.;Securities.;Finance.;Corporations.,,Business,,,,,
LA,2219654,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2219654",ACLS Humanities E-Book,Humanities.;History.,?,,,,,,
LA,2220754,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2220754",ThomasNet,Industries--United States--Directories.;Manufactures--United States--Directories.;Industries--Canada--Directories.;Manufactures--Canada--Directories.,?,,,,,,
LA,2222638,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2222638",ValueLine.,Investments.;Investments--Periodicals.;Stocks.;Mutual funds.;Options (Finance);Convertible securities.,,Business,,,,,
LA,2222639,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2222639",New Testament abstracts,,,Theology and Religion,,,,,
LA,2227067,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2227067",IEEE Xplore,Electrical engineering--Congresses--Indexes.;Electrical engineering--Periodicals--Indexes.;Electrical engineering--Standards--Indexes.;Computer science--Congresses--Indexes.;Computer science--Periodicals--Indexes.;Computer science--Standards--Indexes.,,Electrical Engineering,Engineering,,,,
LA,2234876,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2234876",Digital dictionary of Buddhism,Buddhism--Asia--Databases.;Buddhism--Asia--Dictionaries.;Buddhism--Asia--Terminology--Databases.,,Theology and Religion,,,,,
LA,2244386,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2244386",Digital South Asia Library,Web sites--Directories.,,History,Global Affairs,,,,
LA,2246199,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2246199",SRDS newspaper media,Advertising--United States--Directories.;American newspapers--Directories.;Advertising--Directories.;Newspapers--Directories.,,Business,,,,,
LA,2246201,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2246201",SRDS radio media,Radio advertising--United States--Directories.,,Business,,,,,
LA,2246203,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2246203",Gale virtual reference library,Reference sources--Databases.,?,,,,,,
LA,2248393,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2248393",[IEEE standards],Electrical engineering--Standards.;Technology--Standards.;Electronics--Standards.;Telecommunication--Standards.;Information technology--Standards.,,Electrical Engineering,Engineering,,,,
LA,2250133,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2250133",Eighteenth century journals.,"British newspapers--18th century--Sources.;British periodicals--18th century--Sources.;Civilization, Modern--18th century--Sources.;English literature--18th century--Sources.",,History,,,,,
LA,2250195,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2250195",British periodicals,British periodicals.,,History,,,,,
LA,2250316,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2250316",British and Irish women's letters and diaries,Women--Great Britain--Diaries.;Women--Ireland--Diaries.;Women--Great Britain--Correspondence.;Women--Ireland--Correspondence.;Diaries--Women authors.;Letters--Women authors.,,History,Gender Studies,Irish Studies,,,
LA,2250324,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2250324",Scottish women poets of the Romantic period,Scottish poetry--Women authors--18th century--Databases.;Scottish poetry--Women authors--19th century--Databases.;Scottish poetry--Women authors--History and criticism.;Scottish poetry--Women authors--Bibliography.,,English Language and Literature,Gender Studies,,,,
LA,2250373,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2250373",19th century U.S. newspapers,American newspapers--19th century--Indexes.,,History,American Studies,,,,
LA,2250420,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2250420","The Wellesley index to Victorian periodicals, 1824-1900",English periodicals--Indexes.;English literature--19th century--Periodicals--Indexes.,,English Language and Literature,,,,,
LA,2250451,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2250451",Digital National Security Archive,National security--United States--History--Sources--Databases.,,Political Science,,,,,
LA,2256763,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2256763",Irish newspaper archives,,,Irish Studies,History,,,,
LA,2257246,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2257246",Persée,Social sciences--France--Periodicals.,,Sociology,"French Language, Literature, and Culture",,,,
LA,2258408,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2258408",SRDS TV & cable media,Television advertising--United States--Directories.;Television advertising--Latin America--Directories.,,Business,,,,,
LA,2263121,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2263121",LEME,"English language--Etymology.;English language--History.;English language--Early Modern, 1500-1700.;Lexicography.",,English Language and Literature,,,,,
LA,2269477,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2269477",English short title catalogue,Early printed books--Great Britain--Union lists.;Early printed books--United States--Union lists.;Early printed books--Commonwealth countries--Union lists.;English imprints--Union lists.;English periodicals--Imprints--Union lists.,,English Language and Literature,,,,,
LA,2280487,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2280487",United States congressional serial set,,,Political Science,,,,,
LA,2290811,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2290811",Environmental encyclopedia,Environmental sciences--Encyclopedias.;Ecology--Encyclopedias.;Earth sciences--Encyclopedias.,?,"Biology, Environmental Sciences, and Medicine",Civil and Environmental Engineering,,,,
LA,2290823,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2290823",Geo-data,Gazetteers.,not loading,,,,,,
LA,2290830,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2290830",Contemporary hispanic biography,Hispanic Americans--Biography.,,"Latin American, Iberian, and Latino Studies",,,,,
LA,2292525,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2292525",Garland encyclopedia of world music /,Music--Encyclopedias.;World music--Encyclopedias.;Folk music--Encyclopedias.;Popular music--Encyclopedias.,,Music,,,,,
LA,2295124,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2295124",Old Testament abstracts,,,Theology and Religion,,,,,
LA,2298091,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2298091",Corporate resourceNet.,Business--Databases.;Industrial management--Databases.;Business enterprises--Directories.,,Business,,,,,
LA,2298106,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2298106",Health business fulltext.,Health services administration--Databases.;Public health administration--Databases.,,Business,"Biology, Environmental Sciences, and Medicine",,,,
LA,2298123,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2298123",LitFinder.,"Literature--Indexes.;Poetry--Indexes.;Speeches, addresses, etc.--Indexes.;Short stories--Indexes.;Drama--Indexes.",,English Language and Literature,"Film, Television, and Theatre",,,,
LA,2298129,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2298129",McClatchy-Tribune collection.,American newspapers--Databases.;Newspapers--Databases.,,History,,,,,
LA,2298135,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2298135",Military & government collection.,"Armed Forces--Databases.;Military art and science--Databases.;Military engineering--Databases.;Military history, Modern--Databases.",?,Political Science,,,,,
LA,2298140,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2298140",Professional development collection.,Professional education--Databases.;Adult education--Databases.;Education--Databases.,,Education,,,,,
LA,2298148,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2298148",TOPICsearch.,Periodicals--Databases.;Current events--Databases.;Reference sources--Databases.,?,,,,,,
LA,2306713,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2306713",Business market research collection.,Business--Databases.;Economics--Databases.;Marketing research--Databases.,,Business,,,,,
LA,2306722,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2306722",ABI/INFORM trade & industry.,Business--Periodicals--Indexes--Databases.;Business--Periodicals--Abstracts--Databases.;Management--Periodicals--Indexes--Databases.;Management--Periodicals--Abstracts--Databases.,,Business,,,,,
LA,2307174,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2307174",Cambridge companions online,"Literature--History and criticism.;Civilization, Classical.;Philosophy.;Religion.;Music.",?,,,,,,
LA,2307767,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2307767",Index theologicus,Theology--Indexes.;Theology--Bibliography.;Religion--Indexes.;Religion--Bibliography.,,Theology and Religion,,,,,
LA,2307797,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2307797",International Relations and Security Network (ISN),"Security, International--Research.;Peace--Research.;International relations--Research.",,Global Affairs,Peace Studies,Political Science,,,
LA,2308750,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2308750",Aristoteles Latinus database,"Manuscripts, Latin--Databases.",,Classics,,,,,
LA,2310358,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2310358",Irish women poets of the Romantic period,"Irish poetry--Women authors--18th century.;Irish poetry--Women authors--19th century.;Women poets, Irish.;Women--Ireland--Poetry.",,Irish Studies,English Language and Literature,Gender Studies,,,
LA,2311838,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2311838",Avery index to architectural periodicals,Architecture--Periodicals--Indexes.,,Architecture,,,,,
LA,2311857,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2311857","History of science, technology, and medicine",Science--History--Abstracts.;Science--History--Indexes.;Technology--History--Abstracts.;Technology--History--Indexes.;Medicine--History--Indexes.,,History and Philosophy of Science,,,,,
LA,2311860,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2311860",Chicano database,Mexican Americans--Indexes.;Hispanic Americans--Indexes.;Puerto Ricans--Indexes.;Cuban Americans--Indexes.,,"Latin American, Iberian, and Latino Studies",History,,,,
LA,2311862,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2311862",Anthropological literature,Anthropology--Indexes.;Anthropology--Periodicals--Indexes.;Anthropology--Bibliography--Catalogs.,,Anthropology,,,,,
LA,2314423,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2314423",INCORE,Conflict management.;Ethnic conflict.;Ethnic relations.;World politics.,,Global Affairs,Peace Studies,Political Science,,,
LA,2314581,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2314581",CRInfo,Conflict management--Databases.;Dispute resolution (Law)--Databases.,,Global Affairs,Peace Studies,,,,
LA,2317671,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2317671",Ad{dollar}pender.,Advertising--United States--Statistics--Databases.;Advertising--Costs--Databases.;Business names--United States--Statistics--Databases.;Brand name products--United States--Statistics--Databases.,,Business,,,,,
LA,2318245,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2318245",Asian American drama,American drama--Asian American authors.;Asian Americans--Drama.;Asian American theater.,,"Film, Television, and Theatre","East Asian (Chinese, Japanese, and Korean) Studies",,,,
LA,2318246,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2318246",American film scripts online,Motion picture plays.;Motion pictures--United States.,,"Film, Television, and Theatre",,,,,
LA,2318247,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2318247",Black short fiction and folklore,Short stories--Black authors--Databases.;Poetry--Black authors--Databases.;Tales--Africa--Databases.,,English Language and Literature,Africana Studies,,,,
LA,2318248,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2318248",Caribbean literature,Caribbean literature--Databases.,,English Language and Literature,"Latin American, Iberian, and Latino Studies","French Language, Literature, and Culture",,,
LA,2318251,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2318251",Latin American women writers,Latin American literature--Women authors.,,"Latin American, Iberian, and Latino Studies",,,,,
LA,2318252,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2318252",Latino literature,Mexican American literature (Spanish)--Databases.;American literature--Mexican American authors--Databases.;Hispanic American literature (Spanish)--Databases.;Latin American literature--Databases.;Spanish American literature--Databases.,,"Latin American, Iberian, and Latino Studies",,,,,
LA,2318258,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2318258",North American Indian drama,American drama--Indian authors.;Canadian drama--Indian authors.;Indians of North America--Drama.,?,"Film, Television, and Theatre",,,,,
LA,2318259,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2318259",North American women's drama,"Women dramatists, American--Databases.;American drama--Women authors--Databases.",?,"Film, Television, and Theatre",Gender Studies,,,,
LA,2318261,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2318261",South and Southeast Asian literature,English literature--South Asian authors--Databases.;English literature--Southeast Asian authors--Databases.;South Asian literature (English)--Databases.;Southeast Asian literature (English)--Databases.,,English Language and Literature,,,,,
LA,2318262,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2318262",Twentieth century North American drama,Drama--20th century--Databases.;American drama--20th century--Databases.;Theater--United States--Databases.,,"Film, Television, and Theatre",,,,,
LA,2318322,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2318322",Alexander Street literature,"American literature--Literary collections--Databases.;South Asian literature (English)--Literary collections--Databases.;Southeast Asian literature (English)--Literary collections--Databases.;Authors, Latin American--Literary collections--Databases.;Women authors--Literary collections--Databases.;Authors, Black--Literary collections--Databases.;Literature--Literary collections--Databases.",?,English Language and Literature,Africana Studies,American Studies,Gender Studies,,
LA,2321031,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2321031",U.S. Declassified Documents Online.,Government publications--United States--Sources.;Government information--United States--Sources.;Security classification (Government documents)--United States--Sources.,,Political Science,,,,,
LA,2322141,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2322141",The Chicago manual of style online.,Printing--Style manuals.;Authorship--Style manuals.;English language--Grammar.;Punctuation.;Bibliographical citations.,?,Multidisciplinary,,,,,
LA,2322248,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2322248",Ethnic newsWatch,Minorities--United States--Newspapers.;Minorities--United States--Periodicals.;Minorities--United States--History--Sources.;Indians of North America--Newspapers--Newspapers.;Indians of North America--Periodicals.;Indians of North America--History--Sources.;Ethnology--United States.;Ethnic press--United States.,,History,Africana Studies,,,,
LA,2323621,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2323621",Smithsonian global sound for libraries,Folk music--Databases.;Folk music--Encyclopedias.;World music--Databases.;World music--Encyclopedias.,,Music,,,,,
LA,2323683,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2323683",Social sciences & humanities,Russian periodicals--Databases.;Humanities--Periodicals.;Social sciences--Periodicals.,,"Russian and East European Languages, Literature, and Culture",,,,,
LA,2323684,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2323684",UDB statistics,,,"Russian and East European Languages, Literature, and Culture",,,,,
LA,2323685,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2323685",Russian regional newspapers,Russian newspapers--Databases.,,"Russian and East European Languages, Literature, and Culture",,,,,
LA,2323686,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2323686",Russian central newspapers,Russian newspapers--Databases.,,"Russian and East European Languages, Literature, and Culture",,,,,
LA,2323815,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2323815",Foreign Broadcast Information Service (FBIS) daily reports,World politics--1975-1985--Databases.;World politics--1985-1995--Databases.,,Global Affairs,Political Science,,,,
LA,2323816,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2323816","Hispanic American newspapers, 1808-1980",Hispanic Americans--Newspapers.,,History,"Latin American, Iberian, and Latino Studies",,,,
LA,2324069,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2324069",Theatre in video.,Theater--Databases.;Drama--Collections.;Theater--Production and direction--History--Databases.;Theatrical producers and directors--Databases.;Theater--Casting.,,"Film, Television, and Theatre",,,,,
LA,2324077,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2324077",Opera in video,Operas.;Opera.;Opera--Production and direction.,,Music,,,,,
LA,2324078,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2324078",Classical scores library,Music.,,Music,,,,,
LA,2324082,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2324082",African American music reference,African Americans--Music--History and criticism.;Music--United States--History and criticism.;African Americans--Music.,,Music,Africana Studies,,,,
LA,2324083,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2324083",Classical music reference library,Music--Dictionaries.;Music--Encyclopedias.;Music--Bio-bibliography.;Women composers--Biography.,,Music,,,,,
LA,2324224,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2324224",LAPOP,Public opinion--Latin America.;Social surveys--Latin America.;Political participation--Latin America--Public opinion.,,Political Science,"Latin American, Iberian, and Latino Studies",,,,
LA,2327163,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2327163",Standard & Poor's netAdvantage,"Investments--Computer network resources.;Finance, Personal--Computer network resources.;Investments--United States.",,Business,,,,,
LA,2327592,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2327592",American periodicals series online,American periodicals--Databases.,,American Studies,History,,,,
LA,2328744,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2328744",Marquis who's who on the web,Biography--Dictionaries.,,History,,,,,
LA,2333758,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2333758",Archive of Celtic-Latin literature,"Latin language, Medieval and modern--Great Britain--Databases.;Latin literature, Medieval and modern--Great Britain--Databases.;Latin language, Medieval and modern--Ireland--Databases.;Latin literature, Medieval and modern--Ireland--Databases.;Latin language, Medieval and modern--France--Brittany--Databases.;Latin literature, Medieval and modern--France--Brittany--Databases.",,Irish Studies,English Language and Literature,"French Language, Literature, and Culture",,,
LA,2335003,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2335003",Brill's New Pauly.,"Civilization, Classical--Encyclopedias.",,Classics,History,,,,
LA,2335352,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2335352",Encyclopedia of philosophy,Philosophy--Encyclopedias.,,Philosophy,,,,,
LA,2338365,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2338365",The American Civil War research database,Soldiers--United States--History--19th century.,?,History,,,,,
LA,2346146,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2346146",The making of the modern world.,Economics--Early works to 1800--Databases.;Economics--History--Sources--Databases.,,History,Economics,,,,
LA,2346325,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2346325",Social Science Research Network,Social sciences--Research.;Social sciences--Research--Computer network resources.;Social sciences--Research--Abstracts.,?,,,,,,
LA,2346632,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2346632",Latinobarómetro,Public opinion--Latin America--Databases.,,"Latin American, Iberian, and Latino Studies",Political Science,,,,
LA,2346633,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2346633",Social explorer.,Demography--United States--Statistics--Databases.,?,,,,,,
LA,2349302,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2349302",IBISWorld.,Industries--Databases.;Corporations--Databases.;Risk management--Databases.;Commercial statistics--Databases.;Marketing research--Databases.;Market surveys--Databases.;Industrial statistics--Databases.;International business enterprises--Databases.,,Business,,,,,
LA,2349593,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,2349593",IPA source,Vocal music--Translating.;Opera--Translating.;Songs--Translating.;Phonetic alphabet.,,Music,,,,,
